"ID";"WijkenEnBuurten";"Gemeentenaam_1";"SoortRegio_2";"Codering_3";"IndelingswijzigingGemeenteWijkBuurt_4";"AantalInwoners_5";"AantalPubliekeLaadpalen_61";"Omgevingsadressendichtheid_121"
"0";"NL00      ";"Nederland                               ";"Land      ";"NL00      ";".";"18044027";"       .";"    2077"
"1";"GM1680    ";"Aa en Hunze                             ";"Gemeente  ";"GM1680    ";"1";"   25935";"       .";"     285"
"2";"WK168000  ";"Aa en Hunze                             ";"Wijk      ";"WK168000  ";"1";"    3600";"       .";"     395"
"3";"BU16800000";"Aa en Hunze                             ";"Buurt     ";"BU16800000";"1";"    3450";"       .";"     410"
"4";"BU16800009";"Aa en Hunze                             ";"Buurt     ";"BU16800009";"1";"     145";"       .";"      56"
"5";"WK168001  ";"Aa en Hunze                             ";"Wijk      ";"WK168001  ";"1";"    1450";"       .";"     128"
"6";"BU16800100";"Aa en Hunze                             ";"Buurt     ";"BU16800100";"1";"    1275";"       .";"     148"
"7";"BU16800109";"Aa en Hunze                             ";"Buurt     ";"BU16800109";"1";"     175";"       .";"      37"
"8";"WK168002  ";"Aa en Hunze                             ";"Wijk      ";"WK168002  ";"1";"     390";"       .";"      60"
"9";"BU16800200";"Aa en Hunze                             ";"Buurt     ";"BU16800200";"1";"     325";"       .";"      58"
"10";"BU16800209";"Aa en Hunze                             ";"Buurt     ";"BU16800209";"1";"      65";"       .";"      71"
"11";"WK168003  ";"Aa en Hunze                             ";"Wijk      ";"WK168003  ";"1";"     385";"       .";"      54"
"12";"BU16800300";"Aa en Hunze                             ";"Buurt     ";"BU16800300";"1";"     370";"       .";"      55"
"13";"BU16800309";"Aa en Hunze                             ";"Buurt     ";"BU16800309";"1";"      15";"       .";"      24"
"14";"WK168004  ";"Aa en Hunze                             ";"Wijk      ";"WK168004  ";"1";"     240";"       .";"      32"
"15";"BU16800400";"Aa en Hunze                             ";"Buurt     ";"BU16800400";"1";"     215";"       .";"      34"
"16";"BU16800409";"Aa en Hunze                             ";"Buurt     ";"BU16800409";"1";"      30";"       .";"      15"
"17";"WK168005  ";"Aa en Hunze                             ";"Wijk      ";"WK168005  ";"1";"     610";"       .";"     209"
"18";"BU16800500";"Aa en Hunze                             ";"Buurt     ";"BU16800500";"1";"     555";"       .";"     212"
"19";"BU16800509";"Aa en Hunze                             ";"Buurt     ";"BU16800509";"1";"      55";"       .";"     185"
"20";"WK168006  ";"Aa en Hunze                             ";"Wijk      ";"WK168006  ";"1";"     470";"       .";"      43"
"21";"BU16800600";"Aa en Hunze                             ";"Buurt     ";"BU16800600";"1";"     450";"       .";"      44"
"22";"BU16800609";"Aa en Hunze                             ";"Buurt     ";"BU16800609";"1";"      25";"       .";"      27"
"23";"WK168007  ";"Aa en Hunze                             ";"Wijk      ";"WK168007  ";"1";"     150";"       .";"      34"
"24";"BU16800700";"Aa en Hunze                             ";"Buurt     ";"BU16800700";"1";"     150";"       .";"      34"
"25";"BU16800709";"Aa en Hunze                             ";"Buurt     ";"BU16800709";"1";"       0";"       .";"       ."
"26";"WK168008  ";"Aa en Hunze                             ";"Wijk      ";"WK168008  ";"1";"     110";"       .";"      20"
"27";"BU16800800";"Aa en Hunze                             ";"Buurt     ";"BU16800800";"1";"      95";"       .";"      21"
"28";"BU16800809";"Aa en Hunze                             ";"Buurt     ";"BU16800809";"1";"      10";"       .";"      15"
"29";"WK168009  ";"Aa en Hunze                             ";"Wijk      ";"WK168009  ";"1";"     115";"       .";"      28"
"30";"BU16800900";"Aa en Hunze                             ";"Buurt     ";"BU16800900";"1";"     110";"       .";"      28"
"31";"BU16800909";"Aa en Hunze                             ";"Buurt     ";"BU16800909";"1";"       5";"       .";"      24"
"32";"WK168011  ";"Aa en Hunze                             ";"Wijk      ";"WK168011  ";"1";"     400";"       .";"      40"
"33";"BU16801100";"Aa en Hunze                             ";"Buurt     ";"BU16801100";"1";"     395";"       .";"      40"
"34";"BU16801109";"Aa en Hunze                             ";"Buurt     ";"BU16801109";"1";"       5";"       .";"      27"
"35";"WK168012  ";"Aa en Hunze                             ";"Wijk      ";"WK168012  ";"1";"     245";"       .";"     114"
"36";"BU16801200";"Aa en Hunze                             ";"Buurt     ";"BU16801200";"1";"     235";"       .";"     101"
"37";"BU16801209";"Aa en Hunze                             ";"Buurt     ";"BU16801209";"1";"      10";"       .";"     130"
"38";"WK168013  ";"Aa en Hunze                             ";"Wijk      ";"WK168013  ";"1";"     120";"       .";"      19"
"39";"BU16801300";"Aa en Hunze                             ";"Buurt     ";"BU16801300";"1";"      90";"       .";"      20"
"40";"BU16801309";"Aa en Hunze                             ";"Buurt     ";"BU16801309";"1";"      30";"       .";"      17"
"41";"WK168014  ";"Aa en Hunze                             ";"Wijk      ";"WK168014  ";"1";"    1865";"       .";"     158"
"42";"BU16801400";"Aa en Hunze                             ";"Buurt     ";"BU16801400";"1";"    1540";"       .";"     207"
"43";"BU16801401";"Aa en Hunze                             ";"Buurt     ";"BU16801401";"1";"     130";"       .";"      50"
"44";"BU16801409";"Aa en Hunze                             ";"Buurt     ";"BU16801409";"1";"     195";"       .";"      66"
"45";"WK168015  ";"Aa en Hunze                             ";"Wijk      ";"WK168015  ";"1";"    1885";"       .";"     222"
"46";"BU16801500";"Aa en Hunze                             ";"Buurt     ";"BU16801500";"1";"    1835";"       .";"     226"
"47";"BU16801501";"Aa en Hunze                             ";"Buurt     ";"BU16801501";"1";"      40";"       .";"      43"
"48";"BU16801509";"Aa en Hunze                             ";"Buurt     ";"BU16801509";"1";"       0";"       .";"       ."
"49";"WK168016  ";"Aa en Hunze                             ";"Wijk      ";"WK168016  ";"1";"     665";"       .";"     120"
"50";"BU16801600";"Aa en Hunze                             ";"Buurt     ";"BU16801600";"1";"     625";"       .";"     126"
"51";"BU16801601";"Aa en Hunze                             ";"Buurt     ";"BU16801601";"1";"      35";"       .";"      19"
"52";"BU16801609";"Aa en Hunze                             ";"Buurt     ";"BU16801609";"1";"      10";"       .";"      64"
"53";"WK168017  ";"Aa en Hunze                             ";"Wijk      ";"WK168017  ";"1";"    4980";"       .";"     505"
"54";"BU16801700";"Aa en Hunze                             ";"Buurt     ";"BU16801700";"1";"    4780";"       .";"     521"
"55";"BU16801709";"Aa en Hunze                             ";"Buurt     ";"BU16801709";"1";"     200";"       .";"      41"
"56";"WK168018  ";"Aa en Hunze                             ";"Wijk      ";"WK168018  ";"1";"    1235";"       .";"      77"
"57";"BU16801800";"Aa en Hunze                             ";"Buurt     ";"BU16801800";"1";"     675";"       .";"     100"
"58";"BU16801801";"Aa en Hunze                             ";"Buurt     ";"BU16801801";"1";"     105";"       .";"      19"
"59";"BU16801802";"Aa en Hunze                             ";"Buurt     ";"BU16801802";"1";"     260";"       .";"      74"
"60";"BU16801809";"Aa en Hunze                             ";"Buurt     ";"BU16801809";"1";"     185";"       .";"      38"
"61";"WK168019  ";"Aa en Hunze                             ";"Wijk      ";"WK168019  ";"1";"    5025";"       .";"     376"
"62";"BU16801900";"Aa en Hunze                             ";"Buurt     ";"BU16801900";"1";"    3695";"       .";"     462"
"63";"BU16801901";"Aa en Hunze                             ";"Buurt     ";"BU16801901";"1";"     160";"       .";"      48"
"64";"BU16801902";"Aa en Hunze                             ";"Buurt     ";"BU16801902";"1";"      65";"       .";"      12"
"65";"BU16801903";"Aa en Hunze                             ";"Buurt     ";"BU16801903";"1";"      85";"       .";"      13"
"66";"BU16801908";"Aa en Hunze                             ";"Buurt     ";"BU16801908";"1";"     865";"       .";"     258"
"67";"BU16801909";"Aa en Hunze                             ";"Buurt     ";"BU16801909";"1";"     155";"       .";"     153"
"68";"WK168020  ";"Aa en Hunze                             ";"Wijk      ";"WK168020  ";"1";"    1470";"       .";"      60"
"69";"BU16802000";"Aa en Hunze                             ";"Buurt     ";"BU16802000";"1";"     625";"       .";"      97"
"70";"BU16802001";"Aa en Hunze                             ";"Buurt     ";"BU16802001";"1";"     185";"       .";"      29"
"71";"BU16802008";"Aa en Hunze                             ";"Buurt     ";"BU16802008";"1";"     430";"       .";"      13"
"72";"BU16802009";"Aa en Hunze                             ";"Buurt     ";"BU16802009";"1";"     230";"       .";"      44"
"73";"WK168021  ";"Aa en Hunze                             ";"Wijk      ";"WK168021  ";"1";"     535";"       .";"      28"
"74";"BU16802100";"Aa en Hunze                             ";"Buurt     ";"BU16802100";"1";"     275";"       .";"      40"
"75";"BU16802101";"Aa en Hunze                             ";"Buurt     ";"BU16802101";"1";"     105";"       .";"      18"
"76";"BU16802109";"Aa en Hunze                             ";"Buurt     ";"BU16802109";"1";"     155";"       .";"      11"
"77";"GM0358    ";"Aalsmeer                                ";"Gemeente  ";"GM0358    ";"1";"   33250";"       .";"     982"
"78";"WK035800  ";"Aalsmeer                                ";"Wijk      ";"WK035800  ";"1";"   13555";"       .";"    1105"
"79";"BU03580000";"Aalsmeer                                ";"Buurt     ";"BU03580000";"1";"    2945";"       .";"    1158"
"80";"BU03580001";"Aalsmeer                                ";"Buurt     ";"BU03580001";"1";"    6965";"       .";"    1318"
"81";"BU03580004";"Aalsmeer                                ";"Buurt     ";"BU03580004";"1";"    2785";"       .";"     771"
"82";"BU03580005";"Aalsmeer                                ";"Buurt     ";"BU03580005";"1";"     860";"       .";"     618"
"83";"WK035801  ";"Aalsmeer                                ";"Wijk      ";"WK035801  ";"1";"    9305";"       .";"     831"
"84";"BU03580100";"Aalsmeer                                ";"Buurt     ";"BU03580100";"1";"    9305";"       .";"     831"
"85";"WK035802  ";"Aalsmeer                                ";"Wijk      ";"WK035802  ";"1";"   10390";"       .";"     919"
"86";"BU03580200";"Aalsmeer                                ";"Buurt     ";"BU03580200";"1";"     940";"       .";"     642"
"87";"BU03580201";"Aalsmeer                                ";"Buurt     ";"BU03580201";"1";"    1225";"       .";"     566"
"88";"BU03580205";"Aalsmeer                                ";"Buurt     ";"BU03580205";"1";"    7760";"       .";"    1076"
"89";"BU03580206";"Aalsmeer                                ";"Buurt     ";"BU03580206";"1";"     465";"       .";"     492"
"90";"GM0197    ";"Aalten                                  ";"Gemeente  ";"GM0197    ";"1";"   27466";"       .";"     791"
"91";"WK019701  ";"Aalten                                  ";"Wijk      ";"WK019701  ";"1";"    4050";"       .";"     107"
"92";"BU01970101";"Aalten                                  ";"Buurt     ";"BU01970101";"1";"     110";"       .";"      41"
"93";"BU01970102";"Aalten                                  ";"Buurt     ";"BU01970102";"1";"     460";"       .";"      33"
"94";"BU01970103";"Aalten                                  ";"Buurt     ";"BU01970103";"1";"     355";"       .";"     129"
"95";"BU01970104";"Aalten                                  ";"Buurt     ";"BU01970104";"1";"     485";"       .";"      26"
"96";"BU01970105";"Aalten                                  ";"Buurt     ";"BU01970105";"1";"     150";"       .";"      39"
"97";"BU01970106";"Aalten                                  ";"Buurt     ";"BU01970106";"1";"     180";"       .";"      56"
"98";"BU01970107";"Aalten                                  ";"Buurt     ";"BU01970107";"1";"     255";"       .";"     133"
"99";"BU01970108";"Aalten                                  ";"Buurt     ";"BU01970108";"1";"     680";"       .";"      32"
"100";"BU01970109";"Aalten                                  ";"Buurt     ";"BU01970109";"1";"     100";"       .";"      27"
"101";"BU01970110";"Aalten                                  ";"Buurt     ";"BU01970110";"1";"     625";"       .";"     263"
"102";"BU01970111";"Aalten                                  ";"Buurt     ";"BU01970111";"1";"     545";"       .";"     150"
"103";"BU01970112";"Aalten                                  ";"Buurt     ";"BU01970112";"1";"      85";"       .";"      35"
"104";"WK019702  ";"Aalten                                  ";"Wijk      ";"WK019702  ";"1";"    1935";"       .";"     209"
"105";"BU01970201";"Aalten                                  ";"Buurt     ";"BU01970201";"1";"     215";"       .";"      76"
"106";"BU01970202";"Aalten                                  ";"Buurt     ";"BU01970202";"1";"     200";"       .";"     118"
