rangorde,buurt_naam,stadsdeel,bev_dichtheid,afstand_tot_dichtstbijzijnde_laadpaal_m,pct_onbedekt,score,lat,lon
1,Spaarndammerbuurt-Midden,West,24950.1,571.9,100.0,66.3,52.39079146835681,4.876763894770488
2,Hercules Seghersbuurt,Zuid,30047.5,340.9,62.6,59.8,52.3543624318076,4.890190396282154
3,Mercatorpark,West,29043.3,325.0,67.7,58.4,52.37092705514034,4.846306197876399
4,Banne-Noordoost,Noord,7802.0,1192.1,100.0,57.0,52.41137243285603,4.926337920822778
5,Reimerswaal,Nieuw-West,13971.7,879.4,100.0,57.0,52.363744155316354,4.793943689618586
6,Zaagpoortbuurt,Centrum,24729.6,390.0,88.6,56.8,52.37721747454339,4.878412966324515
7,Sumatraplantsoenbuurt,Oost,26594.6,383.8,72.1,56.8,52.36159538094799,4.943715371046166
8,Timorpleinbuurt-Zuid,Oost,30098.3,393.6,36.9,56.7,52.363698041528764,4.938255303329352
9,Spaarndammerbuurt-Zuidwest,West,24236.8,320.0,100.0,55.6,52.388243632871934,4.878413570655854
10,De Wester Quartier,West,22081.2,450.6,93.3,55.0,52.36639264687751,4.860365018286396
